4865c4865,13786
< rats met each other in (0,31,79)
---
> ratA(0,31,79)
> ratB(0,31,79)
> ratA(0,31,80)
> ratB(0,32,79)
> ratA(0,31,81)
> ratB(0,33,79)
> ratA(0,31,82)
> ratB(0,34,79)
> ratA(0,31,83)
> ratB(0,35,79)
> ratA(0,31,84)
> ratB(0,35,78)
> ratA(0,31,85)
> ratB(0,35,77)
> ratA(0,32,85)
> ratB(0,34,77)
> ratA(0,33,85)
> ratB(0,33,77)
> ratA(0,33,84)
> ratB(0,32,77)
> ratA(0,33,83)
> ratB(0,31,77)
> ratA(0,34,83)
> ratB(0,30,77)
> ratA(0,35,83)
> ratB(0,29,77)
> ratA(0,35,82)
> ratB(0,29,76)
> ratA(0,35,81)
> ratB(0,29,75)
> ratA(0,36,81)
> ratB(0,28,75)
> ratA(0,37,81)
> ratB(0,27,75)
> ratA(0,37,80)
> ratB(0,27,74)
> ratA(0,37,79)
> ratB(0,27,73)
> ratA(0,37,78)
> ratB(0,26,73)
> ratA(0,37,77)
> ratB(0,25,73)
> ratA(0,38,77)
> ratB(0,24,73)
> ratA(0,39,77)
> ratB(0,23,73)
> ratA(0,39,76)
> ratB(0,23,72)
> ratA(0,39,75)
> ratB(0,23,71)
> ratA(0,40,75)
> ratB(0,24,71)
> ratA(0,41,75)
> ratB(0,25,71)
> ratA(0,41,76)
> ratB(0,25,70)
> ratA(0,41,77)
> ratB(0,25,69)
> ratA(0,41,78)
> ratB(0,26,69)
> ratA(0,41,79)
> ratB(0,27,69)
> ratA(0,41,80)
> ratB(0,27,68)
> ratA(0,41,81)
> ratB(0,27,67)
> ratA(0,42,81)
> ratB(0,26,67)
> ratA(0,43,81)
> ratB(0,25,67)
> ratA(0,44,81)
> ratB(0,24,67)
> ratA(0,45,81)
> ratB(0,23,67)
> ratA(0,45,82)
> ratB(0,22,67)
> ratA(0,45,83)
> ratB(0,21,67)
> ratA(0,46,83)
> ratB(0,22,67)
> ratA(0,47,83)
> ratB(0,23,67)
> ratA(0,47,84)
> ratB(0,23,68)
> ratA(0,47,85)
> ratB(0,23,69)
> ratA(0,48,85)
> ratB(0,22,69)
> ratA(0,49,85)
> ratB(0,21,69)
> ratA(0,50,85)
> ratB(0,21,70)
> ratA(0,51,85)
> ratB(0,21,71)
> ratA(0,51,84)
> ratB(0,20,71)
> ratA(0,51,83)
> ratB(0,19,71)
> ratA(0,51,82)
> ratB(0,18,71)
> ratA(0,51,81)
> ratB(0,17,71)
> ratA(0,52,81)
> ratB(0,16,71)
> ratA(0,53,81)
> ratB(0,15,71)
> ratA(0,54,81)
> ratB(0,15,72)
> ratA(0,55,81)
> ratB(0,15,73)
> ratA(0,55,82)
> ratB(0,14,73)
> ratA(0,55,83)
> ratB(0,13,73)
> ratA(0,55,84)
> ratB(0,13,72)
> ratA(0,55,85)
> ratB(0,13,71)
> ratA(0,55,86)
> ratB(0,12,71)
> ratA(0,55,87)
> ratB(0,11,71)
> ratA(0,55,88)
> ratB(0,10,71)
> ratA(0,55,89)
> ratB(0,9,71)
> ratA(0,54,89)
> ratB(0,9,70)
> ratA(0,53,89)
> ratB(0,9,69)
> ratA(0,53,90)
> ratB(0,8,69)
> ratA(0,53,91)
> ratB(0,7,69)
> ratA(0,54,91)
> ratB(0,7,68)
> ratA(0,55,91)
> ratB(0,7,67)
> ratA(0,56,91)
> ratB(0,8,67)
> ratA(0,57,91)
> ratB(0,9,67)
> ratA(0,57,92)
> ratB(0,9,66)
> ratA(0,57,93)
> ratB(0,9,65)
> ratA(0,57,94)
> ratB(0,9,64)
> ratA(0,57,95)
> ratB(0,9,63)
> ratA(0,58,95)
> ratB(0,9,64)
> ratA(0,59,95)
> ratB(0,9,65)
> ratA(0,59,94)
> ratB(0,9,66)
> ratA(0,59,93)
> ratB(0,9,67)
> ratA(0,60,93)
> ratB(0,10,67)
> ratA(0,61,93)
> ratB(0,11,67)
> ratA(0,61,94)
> ratB(0,12,67)
> ratA(0,61,95)
> ratB(0,13,67)
> ratA(0,62,95)
> ratB(0,13,68)
> ratA(0,63,95)
> ratB(0,13,69)
> ratA(0,63,96)
> ratB(0,12,69)
> ratA(0,63,97)
> ratB(0,11,69)
> ratA(0,64,97)
> ratB(0,12,69)
> ratA(0,65,97)
> ratB(0,13,69)
> ratA(0,66,97)
> ratB(0,14,69)
